gene,log2FoldChange,padj,direction,diagnosis
ANKS1B,1.2871855845092202,0.0243145277625114,up_in_disease,Juvenile_idiopathic_arthritis
ANOS1,3.5929367232770164,0.0011207057796813,up_in_disease,Juvenile_idiopathic_arthritis
AREG,2.5633390710878343,0.0077230579525919,up_in_disease,Juvenile_idiopathic_arthritis
ASAP3,-0.5857892935973775,0.0113201560358499,up_in_healthy,Juvenile_idiopathic_arthritis
B2M,0.9466503062941072,0.0137135892042228,up_in_disease,Juvenile_idiopathic_arthritis
C3,1.220454496762822,0.0205705897871463,up_in_disease,Juvenile_idiopathic_arthritis
CD83,1.144024643271769,0.0485734999036339,up_in_disease,Juvenile_idiopathic_arthritis
CDHR5,0.7454104181414681,0.0417100168083531,up_in_disease,Juvenile_idiopathic_arthritis
CLEC2L,-1.3796311230309577,0.0077230579525919,up_in_healthy,Juvenile_idiopathic_arthritis
COL26A1,2.4107301867779114,0.0011207057796813,up_in_disease,Juvenile_idiopathic_arthritis
CXCL2,1.9346063716979287,0.0019955070139644,up_in_disease,Juvenile_idiopathic_arthritis
DDX3Y,9.72102102582257,3.7462765470699513e-10,up_in_disease,Juvenile_idiopathic_arthritis
DPP6,1.1839125538906636,0.035743260787673,up_in_disease,Juvenile_idiopathic_arthritis
EDARADD,-0.6753331847707945,0.005163705193825,up_in_healthy,Juvenile_idiopathic_arthritis
EFNA5,-0.922976019788568,0.0275564954268059,up_in_healthy,Juvenile_idiopathic_arthritis
EGFL7,-0.7138476219035815,0.0285295728851891,up_in_healthy,Juvenile_idiopathic_arthritis
EGR2,1.2372489961073003,0.0145575649854428,up_in_disease,Juvenile_idiopathic_arthritis
EGR3,1.018173217523528,0.0293659275490057,up_in_disease,Juvenile_idiopathic_arthritis
EIF1AY,22.97602455196222,3.5700530627804674e-11,up_in_disease,Juvenile_idiopathic_arthritis
EREG,1.1345014366728472,0.0442970340356797,up_in_disease,Juvenile_idiopathic_arthritis
FBXO39,-0.91281696413414,0.0358394302299919,up_in_healthy,Juvenile_idiopathic_arthritis
FOLR3,-1.3241676606180055,0.0420713426479225,up_in_healthy,Juvenile_idiopathic_arthritis
FRMPD3,-0.5808166058486655,0.0352147283328599,up_in_healthy,Juvenile_idiopathic_arthritis
GPM6A,0.744042239477234,0.0043744122630833,up_in_disease,Juvenile_idiopathic_arthritis
GSG1L,0.7646608487790666,0.0133096025808058,up_in_disease,Juvenile_idiopathic_arthritis
IER3,0.9233612119211292,0.0381156043650455,up_in_disease,Juvenile_idiopathic_arthritis
ITGA1,-0.6981477207877134,0.0192678478242301,up_in_healthy,Juvenile_idiopathic_arthritis
KCND3,-0.7239071952440358,0.0137135892042228,up_in_healthy,Juvenile_idiopathic_arthritis
KDM5D,6.5370413725698215,5.02983487686398e-12,up_in_disease,Juvenile_idiopathic_arthritis
KLK4,0.8736914368774129,0.0098495039248961,up_in_disease,Juvenile_idiopathic_arthritis
MAPK8IP1,0.6677932828479949,0.0369357027725478,up_in_disease,Juvenile_idiopathic_arthritis
MATN1,0.7814006863142742,0.0113201560358499,up_in_disease,Juvenile_idiopathic_arthritis
MRC1,0.8557330595089215,0.0113201560358499,up_in_disease,Juvenile_idiopathic_arthritis
MSI1,1.231303971611868,0.0140781000512883,up_in_disease,Juvenile_idiopathic_arthritis
NFKBIA,0.9840187117845612,0.0280076679945799,up_in_disease,Juvenile_idiopathic_arthritis
NID2,-0.8894931044072837,0.041813002386655,up_in_healthy,Juvenile_idiopathic_arthritis
NR4A2,1.49511146091222,0.0465522862027269,up_in_disease,Juvenile_idiopathic_arthritis
PAK6,-0.6898813722354945,0.0241847803174558,up_in_healthy,Juvenile_idiopathic_arthritis
PCDHB16,0.6954932599444198,0.0113201560358499,up_in_disease,Juvenile_idiopathic_arthritis
PDE2A,-0.6335356849401453,0.047236411764877,up_in_healthy,Juvenile_idiopathic_arthritis
PDGFC,0.725809359820669,0.0284516902958039,up_in_disease,Juvenile_idiopathic_arthritis
PLSCR2,0.7963367608268074,0.0497196667875899,up_in_disease,Juvenile_idiopathic_arthritis
RBPMS2,-1.0169845871323957,0.042024190506553,up_in_healthy,Juvenile_idiopathic_arthritis
RP11-159D12.5,-0.7216551683471591,0.0201322350137867,up_in_healthy,Juvenile_idiopathic_arthritis
RP11-277P12.6,-0.9014185479578494,0.0464228438910965,up_in_healthy,Juvenile_idiopathic_arthritis
RPS4Y1,26.375150562096533,6.123322626186208e-45,up_in_disease,Juvenile_idiopathic_arthritis
RTEL1-TNFRSF6B,3.1835541152624645,0.0113201560358499,up_in_disease,Juvenile_idiopathic_arthritis
SLIT3,0.7440445454198916,0.0098495039248961,up_in_disease,Juvenile_idiopathic_arthritis
SLX1B,0.8317835042299431,0.0364700989033012,up_in_disease,Juvenile_idiopathic_arthritis
SYCP2L,1.286818430722771,0.0218567728775971,up_in_disease,Juvenile_idiopathic_arthritis
TRDV1,-0.7219910022653586,0.0140781000512883,up_in_healthy,Juvenile_idiopathic_arthritis
TRDV3,-0.7618884049870607,0.0336126708385452,up_in_healthy,Juvenile_idiopathic_arthritis
TRGV2,-0.6163321421463063,0.0231591136613018,up_in_healthy,Juvenile_idiopathic_arthritis
U2AF1,0.5933507928871515,0.01899269094205,up_in_disease,Juvenile_idiopathic_arthritis
USP9Y,24.48870378721388,1.567192667525444e-12,up_in_disease,Juvenile_idiopathic_arthritis
UTS2,-1.2845662372203517,0.0324439357966982,up_in_healthy,Juvenile_idiopathic_arthritis
UTY,6.609608108314049,1.646243083095059e-07,up_in_disease,Juvenile_idiopathic_arthritis
XCL2,-0.8547412705760519,0.0011207057796813,up_in_healthy,Juvenile_idiopathic_arthritis
ZFY,10.632692236068776,0.0012135107508181,up_in_disease,Juvenile_idiopathic_arthritis
HLA-DRB5,-6.021370744186381,1.4578040027588758e-17,up_in_healthy,Type_1_diabetes_mellitus
ANGPT1,-1.1414348770106273,0.0088601054816114,up_in_healthy,Psoriasis
C1QA,1.1966022193336383,0.0376651615188794,up_in_disease,Psoriasis
C1QB,1.7763033630853111,0.034126592125389,up_in_disease,Psoriasis
C4BPA,-2.962172175143779,0.0352173591336185,up_in_healthy,Psoriasis
CASP5,1.4591100801481025,0.0012726745807016,up_in_disease,Psoriasis
CCDC170,-0.7379363196322051,0.0330199341037354,up_in_healthy,Psoriasis
CDK5R1,-0.9191180224001448,0.0099317726758952,up_in_healthy,Psoriasis
COLGALT2,-1.238469380020103,0.0473288567658542,up_in_healthy,Psoriasis
CSRNP1,0.7816374111073471,0.0352173591336185,up_in_disease,Psoriasis
DDX43,-1.529391947785038,0.0005597668967676,up_in_healthy,Psoriasis
DGKG,-0.6102267970411986,0.0106050148846197,up_in_healthy,Psoriasis
DTX4,-0.8988421483614135,0.0113639902583242,up_in_healthy,Psoriasis
FCGR1A,1.3918412463953258,0.0207124807956637,up_in_disease,Psoriasis
FCGR1B,1.166435864994282,0.0352173591336185,up_in_disease,Psoriasis
GPX3,-0.942681766882228,0.0473288567658542,up_in_healthy,Psoriasis
HPD,-2.0268133373884387,0.0109987325009263,up_in_healthy,Psoriasis
IGLV7-43,-1.1990450204093124,0.0496094978988639,up_in_healthy,Psoriasis
KRT72,-1.542391663134218,0.0005597668967676,up_in_healthy,Psoriasis
SIGLEC12,-3.187470984749259,0.003420372518451,up_in_healthy,Psoriasis
SOCS3,1.7565437944145863,0.0005972117437077,up_in_disease,Psoriasis
SPP1,-1.527694459023292,0.0473288567658542,up_in_healthy,Psoriasis
SYCP2L,-2.238250755791913,0.0017126125040491,up_in_healthy,Psoriasis
TACSTD2,-1.77627107515079,0.0367674036825399,up_in_healthy,Psoriasis
TMEM158,1.5528701476032227,0.0330199341037354,up_in_disease,Psoriasis
TRBV12-4,0.8338588097146725,0.0434644439068961,up_in_disease,Psoriasis
ABCA13,1.1348936922906632,0.0369330245721229,up_in_disease,Secondary_progressive_multiple_sclerosis
AC243756.1,-1.0332350953144047,0.0168156035522347,up_in_healthy,Secondary_progressive_multiple_sclerosis
ACKR4,-0.6656526192566051,0.023078252743484,up_in_healthy,Secondary_progressive_multiple_sclerosis
ADAM20,-0.7511184451297972,0.0069683821339154,up_in_healthy,Secondary_progressive_multiple_sclerosis
ADGRG3,0.6573625500904062,0.0182151212603787,up_in_disease,Secondary_progressive_multiple_sclerosis
AFAP1,0.7960429477846842,0.0099226334591868,up_in_disease,Secondary_progressive_multiple_sclerosis
AFF2,0.8082229872616541,0.0004600786360187,up_in_disease,Secondary_progressive_multiple_sclerosis
ALOX5AP,0.7403960442564853,0.0022565757664254,up_in_disease,Secondary_progressive_multiple_sclerosis
AMPH,-0.6897863000507733,0.0221147433732539,up_in_healthy,Secondary_progressive_multiple_sclerosis
ANKRD18B,-0.7410143848290618,0.0347977180279509,up_in_healthy,Secondary_progressive_multiple_sclerosis
ANKRD23,-0.744283269274745,0.0484002776145034,up_in_healthy,Secondary_progressive_multiple_sclerosis
AP000866.1,-0.6702428296955271,0.0140654324251018,up_in_healthy,Secondary_progressive_multiple_sclerosis
AP5B1,0.6237155437907382,0.0001363538091381,up_in_disease,Secondary_progressive_multiple_sclerosis
AQP9,0.5823578236518901,0.0132995052171975,up_in_disease,Secondary_progressive_multiple_sclerosis
ARG1,1.2084499558491824,0.0069854359144113,up_in_disease,Secondary_progressive_multiple_sclerosis
ARHGAP42,-0.6983068687808157,0.0370450416182127,up_in_healthy,Secondary_progressive_multiple_sclerosis
ARMCX4,-0.7221564460744837,0.0204415035074027,up_in_healthy,Secondary_progressive_multiple_sclerosis
AZU1,1.0807459243610873,0.0396524407066086,up_in_disease,Secondary_progressive_multiple_sclerosis
BCL2A1,0.6734917118739775,0.0035934510831746,up_in_disease,Secondary_progressive_multiple_sclerosis
BMX,0.8508969548589502,0.006220515434017,up_in_disease,Secondary_progressive_multiple_sclerosis
BPI,1.151011134854604,0.0333009148749678,up_in_disease,Secondary_progressive_multiple_sclerosis
C1QTNF7,-0.7551542183694409,0.0230729408114444,up_in_healthy,Secondary_progressive_multiple_sclerosis
C5AR1,0.6248790871714371,0.001746549788729,up_in_disease,Secondary_progressive_multiple_sclerosis
CA4,0.5857086653542825,0.043117200393111,up_in_disease,Secondary_progressive_multiple_sclerosis
CAMP,1.194047935090724,0.0259594966341259,up_in_disease,Secondary_progressive_multiple_sclerosis
CD14,0.6618349808021203,0.0088093479489832,up_in_disease,Secondary_progressive_multiple_sclerosis
CD80,-0.6668764804835183,0.0131914017910881,up_in_healthy,Secondary_progressive_multiple_sclerosis
