gene,n_diagnoses
OLAH,4
BMX,4
ADAMTS2,4
BZRAP1,4
ARG1,4
QPCT,3
COL5A2,3
GABARAPL1,3
DAAM2,3
C4BPA,3
C5AR1,3
SNAI1,2
OAZ1,2
GRB10,2
NPIPA1,2
NMUR1,2
NFIL3,2
HP,2
NCR3,2
BCL2A1,2
TNFRSF12A,2
SOCS3,2
GCA,2
CLEC4E,2
CSRNP1,2
CSTA,2
GAB2,2
G0S2,2
CXCL8,2
FST,2
PLAUR,2
FCGR1B,2
FCGR1A,2
DUSP1,2
ERBB2,2
RNF11,2
ELOVL7,2
TP53INP2,2
TBX21,2
MBD6,2
ANK1,2
MCEMP1,2
ADGRG1,2
LTK,2
ALOX5AP,2
ZNF608,2
ST6GALNAC3,2
AP5B1,2
LIM2,2
TRAV1-2,2
MALAT1,2
LAMA2,2
TBC1D3K,2
PDGFA,1
PGM2,1
LPCAT3,1
LRRC7,1
PEX5L,1
PHC2,1
PHTF1,1
LRRN1,1
PILRA,1
LST1,1
LTA4H,1
LTB4R,1
PCTP,1
PCSK5,1
PCDH17,1
MAB21L3,1
PATE2,1
LRTM1,1
LILRB2,1
RGS1,1
RALGAPA2,1
RAB13,1
LIME1,1
PYGL,1
LMNB1,1
PTPRM,1
PTPN13,1
PTGS2,1
PRRG4,1
PBX2,1
PRKAR2B,1
PRF1,1
PRDM5,1
PPM1N,1
POU2F2,1
POM121,1
PLEKHG3,1
LMOD2,1
PLBD1,1
LPCAT2,1
PITX1,1
PINK1,1
PROB1,1
NFATC2,1
NFAM1,1
NEDD9,1
NECAB1,1
NDUFA5,1
MAPK14,1
NDP,1
MZT2B,1
MXI1,1
MUC5AC,1
MCOLN1,1
OTOF,1
MUC16,1
MGAM2,1
MTMR6,1
MS4A3,1
MPV17L,1
MPP1,1
MMP9,1
MMP8,1
MLLT6,1
MKNK1,1
MIF,1
MIDN,1
MUC3A,1
PARP9,1
PAPSS1,1
PADI4,1
OTX1,1
OSM,1
OSBP2,1
ORAI2,1
OPRD1,1
MAN2A2,1
MAOA,1
MAP1LC3A,1
NFKBIA,1
OAS1,1
NUDT16,1
NTNG2,1
NR4A2,1
NPIPB11,1
MAP1LC3B,1
NOX1,1
NOG,1
RHOC,1
MAP1LC3B2,1
NKG7,1
MAP2K3,1
OAS2,1
ZBTB9,1
YPEL5,1
YOD1,1
XKR8,1
XAF1,1
WDFY3,1
VEGFA,1
UTY,1
USP9Y,1
USP18,1
UPP1,1
UFSP1,1
UCP2,1
S100A12,1
UBC,1
TYSND1,1
TSPAN18,1
TRIM58,1
TRIM22,1
TRIM10,1
AC006449.2,1
TRGC1,1
TREML2,1
TRDC,1
TRBV12-4,1
TRAJ53,1
TRAJ22,1
SRGN,1
UBE2D1,1
B3GNT2,1
AZU1,1
AXL,1
AUTS2,1
ATP2B4,1
ATHL1,1
ATF7,1
ASPH,1
ASAH1,1
ARHGAP9,1
ARHGAP33,1
AREG,1
APOOL,1
APOBEC3A,1
ZDHHC18,1
ANXA9,1
ANXA3,1
ANP32A,1
ANKRD9,1
ANKRD22,1
AC241585.2,1
AMPD2,1
ALPK1,1
ALKBH7,1
AHSP,1
AGFG1,1
AGAP1,1
ACAD11,1
ZNF414,1
APMAP,1
SH3BGRL2,1
SH2D2A,1
SFRP1,1
SEPT14,1
SEMA6B,1
SELK,1
SECTM1,1
SDPR,1
SDE2,1
SCUBE1,1
SCNN1A,1
SCLT1,1
SAT1,1
SAP25,1
SPTLC2,1
S100A9,1
S100A8,1
LHFPL2,1
RUNX3,1
RTP4,1
RSC1A1,1
RSAD2,1
RPS4Y1,1
RPL8,1
RPL34,1
ROPN1L,1
RNF19B,1
RNF10,1
RIOK3,1
SAMD9L,1
SPTB,1
SPP1,1
SPICE1,1
SPATS2L,1
SPATA2L,1
SP100,1
SOX13,1
SORT1,1
SNX10,1
SNRNP27,1
SNED1,1
SMTNL1,1
SMIM3,1
SLITRK2,1
SH3BGRL3,1
SLC6A9,1
SLC4A10,1
SLC35E2,1
SLC2A14,1
SLC26A8,1
SLC16A5,1
SLC15A3,1
SLC14A1,1
SIVA1,1
SIGLEC12,1
SIGLEC10,1
SIGLEC1,1
SIAH2,1
SH3GLB1,1
SLFN12,1
CKLF,1
CIB2,1
CHP1,1
CERCAM,1
CEACAM1,1
CDRT15,1
CDK5R1,1
CDC42EP2,1
CD69,1
CD63,1
CD59,1
CD177,1
CD160,1
KCNH7,1
CCL3,1
CCDC91,1
CCDC85B,1
CCDC30,1
CCDC170,1
CASP5,1
CARD6,1
CARD17,1
CAPZA2,1
CAMK2B,1
CADM1,1
CACNA2D2,1
CA4,1
CA1,1
CCNA1,1
DTHD1,1
DRAXIN,1
DPP6,1
DNASE1L3,1
DLX6,1
DLG5,1
DHRS13,1
DGKG,1
DFNB31,1
DDX60L,1
DDX60,1
DDX58,1
DDX43,1
COLGALT2,1
DDIT3,1
DDIAS,1
DCAF12,1
DAW1,1
DAPK2,1
DAGLA,1
CYP1B1,1
CXCR6,1
CXCR4,1
CXCL2,1
CXCL1,1
CREG1,1
CR1,1
CPD,1
DDX3Y,1
TDRD7,1
TBC1D3F,1
TBC1D19,1
ACO1,1
TAF13,1
TACSTD2,1
SYCP2L,1
STX11,1
STS,1
SRRM2,1
AC006449.1,1
AC006386.1,1
ABHD17A,1
C5AR2,1
ZNF853,1
ANGPT1,1
TPP1,1
TRGV3,1
BCAT1,1
TAS2R19,1
AFF2,1
ADRB2,1
ADM,1
ADAM20,1
ADAM12,1
ADA,1
ACTR2,1
ACSL4,1
ABCA13,1
C4orf48,1
C1orf21,1
C1orf162,1
C1QB,1
C1QA,1
C15orf62,1
C12orf75,1
C10orf54,1
BTG3,1
BRF1,1
BPGM,1
BLOC1S5-TXNDC5,1
BEAN1,1
AC012005.3,1
TEX101,1
TOB1,1
TNFSF10,1
TMEM30A,1
TMEM204,1
TMEM165,1
TMEM158,1
TMEM121,1
TMCC3,1
TMCC2,1
TLR8,1
TLR5,1
TLR4,1
TLR2,1
TFDP1,1
TPGS1,1
IFIT3,1
IFIT2,1
IFIT1B,1
IFIT1,1
IFIH1,1
IFI44L,1
IFI44,1
IFI27,1
IFI16,1
IER3,1
ID1,1
ICAM3,1
HS2ST1,1
DTX3L,1
HPD,1
HMGB2,1
HLA-DRB5,1
HLA-DQB2,1
HIVEP3,1
HIATL1,1
HERC6,1
HERC5,1
HDAC4,1
HBEGF,1
HBD,1
HBB,1
HAUS3,1
HAL,1
HRH2,1
LENG8,1
LCMT2,1
KRT72,1
KREMEN1,1
KLLN,1
KLK4,1
KLHL36,1
KLHL32,1
KLF1,1
KLC3,1
KIAA1958,1
KIAA1257,1
KDSR,1
KDM5D,1
IFIT5,1
JUNB,1
